Season,Week,Eliminated_RankMode,Eliminated_PctMode,Saved_By_Rank,Saved_By_Pct
16,1,"['Andy Dick', 'D. L. Hughley']",['D. L. Hughley'],[],['Andy Dick']
16,10,"['Jacoby Jones', 'Alexandra Raisman']",['Alexandra Raisman'],[],['Jacoby Jones']
17,7,['Bill Engvall'],"['Nicole ""Snooki"" Polizzi']","['Nicole ""Snooki"" Polizzi']",['Bill Engvall']
17,8,['Bill Engvall'],['Brant Daugherty'],['Brant Daugherty'],['Bill Engvall']
18,1,"['Sean Avery', 'Drew Carey', 'Diana Nyad']",['Billy Dee Williams'],['Billy Dee Williams'],"['Drew Carey', 'Sean Avery', 'Diana Nyad']"
18,2,['Sean Avery'],['Billy Dee Williams'],['Billy Dee Williams'],['Sean Avery']
18,5,['Cody Simpson'],['Drew Carey'],['Drew Carey'],['Cody Simpson']
18,8,"['Danica McKellar', 'Meryl Davis']",['Danica McKellar'],[],['Meryl Davis']
19,1,['Lolo Jones'],['Betsey Johnson'],['Betsey Johnson'],['Lolo Jones']
19,4,['Michael Waltrip'],['Betsey Johnson'],['Betsey Johnson'],['Michael Waltrip']
19,6,"['Michael Waltrip', 'Jonathan Bennett', 'Tommy Chong']",['Jonathan Bennett'],[],"['Michael Waltrip', 'Tommy Chong']"
19,7,"['Michael Waltrip', 'Antonio Sabato Jr.']",['Antonio Sabato Jr.'],[],['Michael Waltrip']
20,2,['Charlotte McKinney'],['Chris Soules'],['Chris Soules'],['Charlotte McKinney']
20,4,['Chris Soules'],['Michael Sam'],['Michael Sam'],['Chris Soules']
20,5,['Robert Herjavec'],['Suzanne Somers'],['Suzanne Somers'],['Robert Herjavec']
20,6,['Robert Herjavec'],['Patti LaBelle'],['Patti LaBelle'],['Robert Herjavec']
20,9,['Noah Galloway'],['Nastia Liukin'],['Nastia Liukin'],['Noah Galloway']
21,3,"['Paula Deen', 'Hayes Grier']",['Paula Deen'],[],['Hayes Grier']
21,5,"['Paula Deen', 'Alek Skarlatos', 'Hayes Grier']",['Hayes Grier'],[],"['Paula Deen', 'Alek Skarlatos']"
21,7,['Alek Skarlatos'],['Hayes Grier'],['Hayes Grier'],['Alek Skarlatos']
21,9,['Alek Skarlatos'],['Alexa PenaVega'],['Alexa PenaVega'],['Alek Skarlatos']
21,11,"['Carlos PenaVega', 'Alek Skarlatos']",['Carlos PenaVega'],[],['Alek Skarlatos']
22,8,"['Nyle DiMarco', 'Antonio Brown']",['Jodie Sweetin'],['Jodie Sweetin'],"['Nyle DiMarco', 'Antonio Brown']"
22,9,['Antonio Brown'],['Wanya Morris'],['Wanya Morris'],['Antonio Brown']
22,10,"['Nyle DiMarco', 'Ginger Zee']",['Nyle DiMarco'],[],['Ginger Zee']
23,2,"['Rick Perry', 'Jake T. Austin']",['Jake T. Austin'],[],['Rick Perry']
23,10,['Calvin Johnson Jr.'],['Terra Jole'],['Terra Jole'],['Calvin Johnson Jr.']
24,5,['David Ross'],['Erika Jayne'],['Erika Jayne'],['David Ross']
24,6,"['David Ross', 'Bonner Bolton', 'Nick Viall']",['David Ross'],[],"['Bonner Bolton', 'Nick Viall']"
24,9,['David Ross'],['Simone Biles'],['Simone Biles'],['David Ross']
24,10,['David Ross'],['Rashad Jennings'],['Rashad Jennings'],['David Ross']
25,8,['Drew Scott'],['Terrell Owens'],['Terrell Owens'],['Drew Scott']
25,9,['Drew Scott'],['Victoria Arlen'],['Victoria Arlen'],['Drew Scott']
26,4,['Tonya Harding'],['Adam Rippon'],['Adam Rippon'],['Tonya Harding']
27,4,['Bobby Bones'],['Joe Amabile'],['Joe Amabile'],['Bobby Bones']
27,5,['Bobby Bones'],['Joe Amabile'],['Joe Amabile'],['Bobby Bones']
27,6,"['Mary Lou Retton', 'Bobby Bones']",['Mary Lou Retton'],[],['Bobby Bones']
27,7,"['John Schneider', 'DeMarcus Ware']",['DeMarcus Ware'],[],['John Schneider']
27,8,"['Joe Amabile', 'Bobby Bones']",['Joe Amabile'],[],['Bobby Bones']
28,3,['Sean Spicer'],['Lamar Odom'],['Lamar Odom'],['Sean Spicer']
28,5,"['Sean Spicer', 'Karamo Brown']",['Sailor Brinkley-Cook'],['Sailor Brinkley-Cook'],"['Sean Spicer', 'Karamo Brown']"
28,6,"['Hannah Brown', 'Sean Spicer']",['Sailor Brinkley-Cook'],['Sailor Brinkley-Cook'],"['Hannah Brown', 'Sean Spicer']"
28,7,['Sean Spicer'],['Karamo Brown'],['Karamo Brown'],['Sean Spicer']
29,1,['Carole Baskin'],['Nev Schulman'],['Nev Schulman'],['Carole Baskin']
29,11,"['Nev Schulman', 'Nelly']",['Nev Schulman'],[],['Nelly']
30,3,['Cody Rigsby'],['Christine Chiu'],['Christine Chiu'],['Cody Rigsby']
30,5,['Cody Rigsby'],['Melanie C'],['Melanie C'],['Cody Rigsby']
30,10,['Cody Rigsby'],['JoJo Siwa'],['JoJo Siwa'],['Cody Rigsby']
31,5,['Vinny Guadagnino'],['Joseph Baena'],['Joseph Baena'],['Vinny Guadagnino']
31,6,"['Jessie James Decker', 'Vinny Guadagnino']",['Jessie James Decker'],[],['Vinny Guadagnino']
31,7,"['Vinny Guadagnino', 'Jordin Sparks']",['Jordin Sparks'],[],['Vinny Guadagnino']
31,8,"['Vinny Guadagnino', ""Heidi D'Amelio""]",['Vinny Guadagnino'],[],"[""Heidi D'Amelio""]"
31,9,"['Trevor Donovan', 'Daniel Durant']",['Trevor Donovan'],[],['Daniel Durant']
31,10,['Wayne Brady'],"[""Charli D'Amelio""]","[""Charli D'Amelio""]",['Wayne Brady']
32,2,['Mauricio Umansky'],['Jamie Lynn Spears'],['Jamie Lynn Spears'],['Mauricio Umansky']
32,4,['Mauricio Umansky'],['Adrian Peterson'],['Adrian Peterson'],['Mauricio Umansky']
32,7,['Harry Jowsey'],['Lele Pons'],['Lele Pons'],['Harry Jowsey']
32,10,"['Alyson Hannigan', 'Ariana Madix']",['Ariana Madix'],[],['Alyson Hannigan']
32,11,"['Alyson Hannigan', 'Ariana Madix']",['Ariana Madix'],[],['Alyson Hannigan']
33,4,['Dwight Howard\xa0'],['Brooks Nader'],['Brooks Nader'],['Dwight Howard\xa0']
33,6,['Ilona Maher'],['Jenn Tran'],['Jenn Tran'],['Ilona Maher']
33,9,['Danny Amendola'],['Stephen Nedoroscik'],['Stephen Nedoroscik'],['Danny Amendola']
34,4,['Andy Richter'],['Hilaria Baldwin'],['Hilaria Baldwin'],['Andy Richter']
34,5,['Andy Richter'],['Robert Irwin'],['Robert Irwin'],['Andy Richter']
34,10,['Dylan Efron'],['Whitney Leavitt'],['Whitney Leavitt'],['Dylan Efron']
34,11,['Dylan Efron'],['Alix Earle'],['Alix Earle'],['Dylan Efron']
