season,week,actual_eliminated,pred_rank_loser,pred_pct_loser,has_elimination
6,10,,Cristian de la Fuente,Kristi Yamaguchi,False
7,1,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,True
7,2,Kim Kardashian,Kim Kardashian,Kim Kardashian,True
7,3,,Rocco DiSpirito,Cloris Leachman,False
7,4,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,True
7,5,Toni Braxton,Toni Braxton,Toni Braxton,True
7,6,Cloris Leachman,Cloris Leachman,Cloris Leachman,True
7,7,Susan Lucci,Susan Lucci,Susan Lucci,True
7,8,Maurice Greene,Maurice Greene,Maurice Greene,True
7,9,Cody Linley,Cody Linley,Cody Linley,True
7,10,,Warren Sapp,Brooke Burke,False
8,1,,Steve Wozniak,Steve Wozniak,False
8,2,Belinda Carlisle,Steve Wozniak,Steve-O,True
8,3,Denise Richards,Steve Wozniak,Steve Wozniak,True
8,4,Holly Madison,Steve Wozniak,Steve Wozniak,True
8,5,David Alan Grier,Steve-O,Steve-O,True
8,6,Steve-O,Steve-O,Steve-O,True
8,7,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,True
8,8,Chuck Wicks,Chuck Wicks,Chuck Wicks,True
8,9,Lil' Kim,Lil' Kim,Lil' Kim,True
8,10,Ty Murray,Ty Murray,Ty Murray,True
8,11,,Melissa Rycroft,Melissa Rycroft,False
9,1,Ashley Hamiliton,Ashley Hamiliton,Ashley Hamiliton,True
9,2,Kathy Ireland,Kathy Ireland,Kathy Ireland,True
9,3,Debi Mazar,Debi Mazar,Debi Mazar,True
9,4,Chuck Liddell,Chuck Liddell,Chuck Liddell,True
9,5,Natalie Coughlin,Natalie Coughlin,Natalie Coughlin,True
9,6,Louie Vito,Louie Vito,Louie Vito,True
9,7,Mark Dacascos,Mark Dacascos,Mark Dacascos,True
9,8,Aaron Carter,Aaron Carter,Aaron Carter,True
9,9,Joanna Krupa,Donny Osmond,Joanna Krupa,True
9,10,,Kelly Osbourne,Kelly Osbourne,False
10,1,,Buzz Aldrin,Buzz Aldrin,False
10,2,Shannen Doherty,Buzz Aldrin,Buzz Aldrin,True
10,3,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,True
10,4,Aiden Turner,Aiden Turner,Aiden Turner,True
10,5,Kate Gosselin,Kate Gosselin,Kate Gosselin,True
10,6,Jake Pavelka,Jake Pavelka,Jake Pavelka,True
10,7,Pamela Anderson,Pamela Anderson,Pamela Anderson,True
10,8,Niecy Nash,Niecy Nash,Niecy Nash,True
10,9,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,True
10,10,,Erin Andrews,Erin Andrews,False
11,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,True
11,2,Michael Bolton,Michael Bolton,Michael Bolton,True
11,3,Margaret Cho,Margaret Cho,Margaret Cho,True
11,4,The Situation,The Situation,The Situation,True
11,5,Florence Henderson,Bristol Palin,Bristol Palin,True
11,6,Audrina Patridge,Bristol Palin,Kurt Warner,True
11,7,Rick Fox,Bristol Palin,Rick Fox,True
11,8,Kurt Warner,Bristol Palin,Kurt Warner,True
11,9,Brandy,Brandy,Brandy,True
11,10,,Bristol Palin,Bristol Palin,False
12,1,,Mike Catherwood,Mike Catherwood,False
12,2,Mike Catherwood,Mike Catherwood,Mike Catherwood,True
12,3,Wendy Williams,Wendy Williams,Wendy Williams,True
12,4,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,True
12,5,Petra Nemcova,Petra Nemcova,Petra Nemcova,True
12,6,Chris Jericho,Chris Jericho,Chris Jericho,True
12,7,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,True
12,8,Romeo,Romeo,Romeo,True
12,9,Ralph Macchio,Ralph Macchio,Ralph Macchio,True
12,10,,Hines Ward,Hines Ward,False
13,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),True
13,2,Elisabetta Canalis,Chaz Bono,Chaz Bono,True
13,3,Kristin Cavallari,Chaz Bono,Chaz Bono,True
13,4,Chynna Phillips,Chynna Phillips,Chynna Phillips,True
13,5,Carson Kressley,Carson Kressley,Carson Kressley,True
13,6,Chaz Bono,Chaz Bono,Chaz Bono,True
13,7,David Arquette,David Arquette,David Arquette,True
13,8,Nancy Grace,Nancy Grace,Nancy Grace,True
13,9,Hope Solo,Hope Solo,Hope Solo,True
13,10,,Ricki Lake,Rob Kardashian,False
14,1,,Martina Navratilova,Maria Menounos,False
14,2,Martina Navratilova,Martina Navratilova,Martina Navratilova,True
14,3,Jack Wagner,Jack Wagner,Jack Wagner,True
14,4,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,True
14,5,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,True
14,6,Gladys Knight,Gladys Knight,Gladys Knight,True
14,7,Jaleel White,Jaleel White,Jaleel White,True
14,8,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,True
14,9,Maria Menounos,Donald Driver,Maria Menounos,True
14,10,,Donald Driver,Donald Driver,False
15,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,True
15,2,Joey Fatone,Bristol Palin,Bristol Palin,True
15,3,Drew Lachey,Bristol Palin,Helio Castroneves,True
15,4,Bristol Palin,Bristol Palin,Bristol Palin,True
15,5,,Emmitt Smith,Kelly Monaco,False
15,6,Sabrina Bryan,Emmitt Smith,Sabrina Bryan,True
15,7,,Apolo Anton Ohno,Kirstie Alley,False
15,8,Gilles Marini,Kirstie Alley,Kirstie Alley,True
15,9,Apolo Anton Ohno,Emmitt Smith,Emmitt Smith,True
15,10,,Shawn Johnson,Shawn Johnson,False
16,1,,Andy Dick,D. L. Hughley,False
16,2,,D. L. Hughley,D. L. Hughley,False
16,3,Wynonna Judd,Wynonna Judd,Wynonna Judd,True
16,4,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,True
16,5,D. L. Hughley,D. L. Hughley,D. L. Hughley,True
16,6,Victor Ortiz,Victor Ortiz,Victor Ortiz,True
16,7,Andy Dick,Andy Dick,Andy Dick,True
16,8,Sean Lowe,Sean Lowe,Sean Lowe,True
16,9,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,True
16,10,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,True
17,1,,Bill Nye,Bill Nye,False
17,2,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,True
17,3,Bill Nye,Bill Nye,Bill Nye,True
17,4,Valerie Harper,Valerie Harper,Valerie Harper,True
17,5,Christina Milian,Bill Engvall,Bill Engvall,True
17,6,,Bill Engvall,Bill Engvall,False
17,7,"Nicole ""Snooki"" Polizzi",Bill Engvall,"Nicole ""Snooki"" Polizzi",True
17,8,Brant Daugherty,Bill Engvall,Brant Daugherty,True
17,9,Elizabeth Berkley Lauren,Bill Engvall,Bill Engvall,True
17,10,Leah Remini,Leah Remini,Leah Remini,True
17,11,Bill Engvall,Bill Engvall,Bill Engvall,True
18,1,,Drew Carey,Billy Dee Williams,False
18,2,Sean Avery,Sean Avery,Billy Dee Williams,True
18,3,,Drew Carey,Drew Carey,False
18,4,,Candace Cameron Bure,Candace Cameron Bure,False
18,5,Cody Simpson,Cody Simpson,Drew Carey,True
18,6,Drew Carey,Drew Carey,Drew Carey,True
18,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,True
18,8,Danica McKellar,Meryl Davis,Danica McKellar,True
18,9,Charlie White,Charlie White,Charlie White,True
18,10,James Maslow,James Maslow,James Maslow,True
19,1,Lolo Jones,Lolo Jones,Betsey Johnson,True
19,2,Tavis Smiley,Michael Waltrip,Michael Waltrip,True
19,3,Randy Couture,Randy Couture,Randy Couture,True
19,4,Betsey Johnson,Michael Waltrip,Betsey Johnson,True
19,5,,Michael Waltrip,Michael Waltrip,False
19,6,Jonathan Bennett,Jonathan Bennett,Jonathan Bennett,True
19,7,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,True
19,8,Michael Waltrip,Michael Waltrip,Michael Waltrip,True
19,9,Lea Thompson,Lea Thompson,Lea Thompson,True
19,10,Tommy Chong,Tommy Chong,Tommy Chong,True
19,11,Bethany Mota,Bethany Mota,Bethany Mota,True
20,1,,Charlotte McKinney,Charlotte McKinney,False
20,2,Redfoo,Charlotte McKinney,Chris Soules,True
20,3,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,True
20,4,Michael Sam,Chris Soules,Michael Sam,True
20,5,Suzanne Somers,Chris Soules,Suzanne Somers,True
20,6,Patti LaBelle,Patti LaBelle,Patti LaBelle,True
20,7,Willow Shields,Robert Herjavec,Robert Herjavec,True
20,8,Chris Soules,Robert Herjavec,Robert Herjavec,True
20,9,Nastia Liukin,Noah Galloway,Nastia Liukin,True
20,10,,Noah Galloway,Noah Galloway,False
21,1,,Kim Zolciak-Biermann,Kim Zolciak-Biermann,False
21,2,Chaka Khan,Chaka Khan,Chaka Khan,True
21,3,,Hayes Grier,Paula Deen,False
21,4,Gary Busey,Gary Busey,Gary Busey,True
21,5,,Alek Skarlatos,Hayes Grier,False
21,6,Paula Deen,Paula Deen,Paula Deen,True
21,7,Hayes Grier,Alek Skarlatos,Hayes Grier,True
21,8,Andy Grammer,Andy Grammer,Andy Grammer,True
21,9,Alexa PenaVega,Alek Skarlatos,Alexa PenaVega,True
21,10,,Alek Skarlatos,Alek Skarlatos,False
21,11,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,True
22,1,,Geraldo Rivera,Geraldo Rivera,False
22,2,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,True
22,3,Mischa Barton,Mischa Barton,Mischa Barton,True
22,4,Marla Maples,Marla Maples,Marla Maples,True
22,5,,Doug Flutie,Doug Flutie,False
22,6,Doug Flutie,Doug Flutie,Doug Flutie,True
22,7,Kim Fields,Kim Fields,Kim Fields,True
22,8,Jodie Sweetin,Antonio Brown,Jodie Sweetin,True
22,9,Antonio Brown,Antonio Brown,Wanya Morris,True
22,10,,Ginger Zee,Nyle DiMarco,False
23,1,,Rick Perry,Rick Perry,False
23,2,Jake T. Austin,Jake T. Austin,Jake T. Austin,True
23,3,Rick Perry,Rick Perry,Rick Perry,True
23,4,Babyface,Babyface,Babyface,True
23,5,,Amber Rose,Amber Rose,False
23,6,Amber Rose,Amber Rose,Amber Rose,True
23,7,Maureen McCormick,Maureen McCormick,Maureen McCormick,True
23,8,Ryan Lochte,Ryan Lochte,Ryan Lochte,True
23,9,Marilu Henner,Marilu Henner,Marilu Henner,True
23,10,Terra Jole,Calvin Johnson Jr.,Terra Jole,True
23,11,Jana Kramer,Jana Kramer,Jana Kramer,True
24,1,,Chris Kattan,Chris Kattan,False
24,2,Chris Kattan,Chris Kattan,Chris Kattan,True
24,3,Charo,Charo,Charo,True
24,4,Mr. T,Mr. T,Mr. T,True
24,5,Erika Jayne,David Ross,Erika Jayne,True
24,6,Heather Morris,Bonner Bolton,David Ross,True
24,7,Nancy Kerrigan,Nick Viall,Nick Viall,True
24,8,Bonner Bolton,Bonner Bolton,Bonner Bolton,True
24,9,Simone Biles,David Ross,Simone Biles,True
24,10,,David Ross,Rashad Jennings,False
25,1,,Barbara Corcoran,Barbara Corcoran,False
25,2,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,True
25,3,,Nikki Bella,Sasha Pieterse,False
25,4,Derek Fisher,Derek Fisher,Derek Fisher,True
25,5,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,True
25,6,Nick Lachey,Nick Lachey,Nick Lachey,True
25,7,Nikki Bella,Nikki Bella,Nikki Bella,True
25,8,Terrell Owens,Drew Scott,Terrell Owens,True
25,9,Victoria Arlen,Drew Scott,Victoria Arlen,True
25,10,Drew Scott,Drew Scott,Drew Scott,True
26,1,Jamie Anderson,Johnny Damon,Johnny Damon,True
26,2,Arike Ogunbowale,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True
26,3,Chris Mazdzer,Jennie Finch Daigle,Jennie Finch Daigle,True
26,4,,Tonya Harding,Adam Rippon,False
27,1,Nikki Glaser,Nikki Glaser,Nikki Glaser,True
27,2,Danelle Umstead,Danelle Umstead,Danelle Umstead,True
27,3,Nancy McKeon,Nancy McKeon,Nancy McKeon,True
27,4,Tinashe,Bobby Bones,Joe Amabile,True
27,5,,Bobby Bones,Joe Amabile,False
27,6,Mary Lou Retton,Bobby Bones,Mary Lou Retton,True
27,7,DeMarcus Ware,DeMarcus Ware,DeMarcus Ware,True
27,8,Joe Amabile,Bobby Bones,Joe Amabile,True
27,9,,Bobby Bones,Bobby Bones,False
28,1,,Sean Spicer,Sean Spicer,False
28,2,Mary Wilson,Mary Wilson,Mary Wilson,True
28,3,,Sean Spicer,Lamar Odom,False
28,4,Lamar Odom,Lamar Odom,Lamar Odom,True
28,5,,Karamo Brown,Sailor Brinkley-Cook,False
28,6,Sailor Brinkley-Cook,Hannah Brown,Sailor Brinkley-Cook,True
28,7,Karamo Brown,Sean Spicer,Karamo Brown,True
28,8,Kate Flannery,Kate Flannery,Kate Flannery,True
28,9,Sean Spicer,Sean Spicer,Sean Spicer,True
28,10,James Van Der Beek,James Van Der Beek,James Van Der Beek,True
28,11,,Hannah Brown,Hannah Brown,False
29,1,,Carole Baskin,Nev Schulman,False
29,2,Charles Oakley,Charles Oakley,Charles Oakley,True
29,3,Carole Baskin,Carole Baskin,Carole Baskin,True
29,4,Anne Heche,Anne Heche,Anne Heche,True
29,5,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,True
29,6,Veron Davis,Veron Davis,Veron Davis,True
29,7,Monica Aldama,Monica Aldama,Monica Aldama,True
29,8,Chrishell Stause,Chrishell Stause,Chrishell Stause,True
29,9,AJ McLean,AJ McLean,AJ McLean,True
29,10,Johnny Weir,Johnny Weir,Johnny Weir,True
29,11,,Nev Schulman,Nev Schulman,False
30,1,,Cody Rigsby,Cody Rigsby,False
30,2,Martin Kove,Martin Kove,Martin Kove,True
30,3,Christine Chiu,Cody Rigsby,Christine Chiu,True
30,4,Brian Austin Green,Brian Austin Green,Brian Austin Green,True
30,5,Melanie C,Cody Rigsby,Melanie C,True
30,6,Kenya Moore,Kenya Moore,Kenya Moore,True
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True
30,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,True
30,9,Melora Hardin,Melora Hardin,Melora Hardin,True
30,10,,Cody Rigsby,JoJo Siwa,False
31,1,Jason Lewis,Jason Lewis,Jason Lewis,True
31,2,Teresa Giudice,Teresa Giudice,Teresa Giudice,True
31,3,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,True
31,4,Sam Champion,Sam Champion,Sam Champion,True
31,5,Joseph Baena,Vinny Guadagnino,Joseph Baena,True
31,6,Jessie James Decker,Jessie James Decker,Jessie James Decker,True
31,7,Jordin Sparks,Jordin Sparks,Jordin Sparks,True
31,8,Heidi D'Amelio,Heidi D'Amelio,Vinny Guadagnino,True
31,9,Daniel Durant,Daniel Durant,Trevor Donovan,True
31,10,,Wayne Brady,Charli D'Amelio,False
32,1,Matt Walsh,Matt Walsh,Matt Walsh,True
32,2,Jamie Lynn Spears,Mauricio Umansky,Jamie Lynn Spears,True
32,3,Tyson Beckford,Tyson Beckford,Tyson Beckford,True
32,4,Adrian Peterson,Adrian Peterson,Adrian Peterson,True
32,5,Mira Sorvino,Mira Sorvino,Mira Sorvino,True
32,6,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,True
32,7,Lele Pons,Harry Jowsey,Lele Pons,True
32,8,Barry Williams,Barry Williams,Barry Williams,True
32,9,Harry Jowsey,Harry Jowsey,Harry Jowsey,True
32,10,,Alyson Hannigan,Ariana Madix,False
32,11,,Ariana Madix,Ariana Madix,False
33,1,,Anna Delvey,Anna Delvey,False
33,2,Anna Delvey,Anna Delvey,Anna Delvey,True
33,3,Eric Roberts,Reginald VelJohnson,Reginald VelJohnson,True
33,4,Brooks Nader,Brooks Nader,Brooks Nader,True
33,5,Phaedra Parks,Phaedra Parks,Phaedra Parks,True
33,6,Jenn Tran,Ilona Maher,Jenn Tran,True
33,7,Dwight Howard ,Dwight Howard ,Dwight Howard ,True
33,8,,Stephen Nedoroscik,Stephen Nedoroscik,False
33,9,,Danny Amendola,Stephen Nedoroscik,False
34,1,,Andy Richter,Andy Richter,False
34,2,Baron Davis,Corey Feldman,Corey Feldman,True
34,3,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,True
34,4,Hilaria Baldwin,Andy Richter,Hilaria Baldwin,True
34,5,,Andy Richter,Robert Irwin,False
34,6,Scott Hoying,Scott Hoying,Scott Hoying,True
34,7,Jen Affleck,Jen Affleck,Jen Affleck,True
34,8,Danielle Fishel,Danielle Fishel,Danielle Fishel,True
34,9,Andy Richter,Andy Richter,Andy Richter,True
34,10,Whitney Leavitt,Dylan Efron,Whitney Leavitt,True
34,11,,Dylan Efron,Alix Earle,False
